sticker_id,name,reference_price
3172,Sticker | kennyS (Gold) | London 2018,736.9
3186,Sticker | draken (Foil) | London 2018,7.85
3187,Sticker | draken (Gold) | London 2018,364.33
3188,Sticker | JW | London 2018,0.97
3190,Sticker | JW (Gold) | London 2018,181.57
3228,Sticker | chopper (Foil) | London 2018,15.88
3259,Sticker | smooya (Gold) | London 2018,414.9
3260,Sticker | dupreeh | London 2018,1.01
3321,Sticker | GeT_RiGhT (Foil) | London 2018,7.95
3324,Sticker | f0rest (Foil) | London 2018,7.46
3394,Sticker | JUGi (Gold) | London 2018,133.33
3416,Sticker | sdy | London 2018,9.19
3417,Sticker | sdy (Foil) | London 2018,108.6
3418,Sticker | sdy (Gold) | London 2018,3158.26
3439,Sticker | xccurate (Gold) | London 2018,350.85
3508,Sticker | MIBR | Katowice 2019,1.14
3514,Sticker | Natus Vincere (Foil) | Katowice 2019,11.98
3516,Sticker | Ninjas in Pyjamas | Katowice 2019,2.47
3587,Sticker | Magisk (Gold) | Katowice 2019,59.36
3596,Sticker | dupreeh (Gold) | Katowice 2019,58.37
3602,Sticker | fitch (Gold) | Katowice 2019,30.75
3604,Sticker | Jame (Foil) | Katowice 2019,5.55
3605,Sticker | Jame (Gold) | Katowice 2019,62.1
3615,Sticker | gob b | Katowice 2019,0.27
3623,Sticker | tiziaN (Gold) | Katowice 2019,33.48
3653,Sticker | stanislaw (Gold) | Katowice 2019,28.8
3662,Sticker | allu (Gold) | Katowice 2019,53.63
3675,Sticker | GuardiaN | Katowice 2019,0.48
3677,Sticker | GuardiaN (Gold) | Katowice 2019,63.56
3695,Sticker | Xizt (Gold) | Katowice 2019,37.41
3700,Sticker | KRIMZ (Foil) | Katowice 2019,2.43
3705,Sticker | VINI | Katowice 2019,1.22
3711,Sticker | arT | Katowice 2019,1.21
3714,Sticker | KSCERATO | Katowice 2019,0.76
3716,Sticker | KSCERATO (Gold) | Katowice 2019,102.52
3717,Sticker | yuurih | Katowice 2019,0.38
3729,Sticker | kennyS | Katowice 2019,6.64
3731,Sticker | kennyS (Gold) | Katowice 2019,507.92
3754,Sticker | ANGE1 (Foil) | Katowice 2019,4.67
3758,Sticker | Hobbit (Gold) | Katowice 2019,35.99
3777,Sticker | coldzera | Katowice 2019,0.35
3802,Sticker | GeT_RiGhT (Foil) | Katowice 2019,3.01
3810,Sticker | daps | Katowice 2019,2.75
3814,Sticker | Brehze (Foil) | Katowice 2019,4.77
3827,Sticker | Gratisfaction (Gold) | Katowice 2019,34.0
3845,Sticker | Stewie2K (Gold) | Katowice 2019,89.48
3850,Sticker | Twistzz (Foil) | Katowice 2019,10.63
3918,Sticker | apEX | Katowice 2019,0.67
3920,Sticker | apEX (Gold) | Katowice 2019,153.57
3925,Sticker | RpK (Foil) | Katowice 2019,3.23
3928,Sticker | ZywOo (Foil) | Katowice 2019,26.19
3932,Sticker | WorldEdit (Gold) | Katowice 2019,61.79
3938,Sticker | Kvik (Gold) | Katowice 2019,40.87
3939,Sticker | Boombl4 | Katowice 2019,1.43
3974,Sticker | Roosty Boosty,0.21
4032,Sticker | Natus Vincere (Holo) | Berlin 2019,1.18
4043,Sticker | Team Liquid | Berlin 2019,0.14
4063,Sticker | G2 Esports | Berlin 2019,0.39
4064,Sticker | G2 Esports (Holo) | Berlin 2019,0.98
4067,Sticker | Vitality | Berlin 2019,0.41
4068,Sticker | Vitality (Holo) | Berlin 2019,0.66
4085,Sticker | NRG (Foil) | Berlin 2019,2.54
4115,Sticker | StarLadder | Berlin 2019,0.46
4155,Sticker | dupreeh (Gold) | Berlin 2019,12.28
4163,Sticker | Aerial (Foil) | Berlin 2019,0.52
4194,Sticker | s1mple (Gold) | Berlin 2019,45.55
4196,Sticker | electronic (Foil) | Berlin 2019,0.53
4207,Sticker | Lekr0 | Berlin 2019,0.12
4224,Sticker | GuardiaN (Gold) | Berlin 2019,13.71
4225,Sticker | olofmeister | Berlin 2019,0.12
4227,Sticker | olofmeister (Gold) | Berlin 2019,11.98
4239,Sticker | Stewie2K (Gold) | Berlin 2019,28.37
4242,Sticker | NAF (Gold) | Berlin 2019,13.92
4245,Sticker | Twistzz (Gold) | Berlin 2019,44.4
4249,Sticker | Gratisfaction | Berlin 2019,0.07
4312,Sticker | shox | Berlin 2019,0.08
4315,Sticker | kennyS | Berlin 2019,1.42
4317,Sticker | kennyS (Gold) | Berlin 2019,63.37
4330,Sticker | ALEX | Berlin 2019,0.06
4337,Sticker | ZywOo (Foil) | Berlin 2019,2.3
4338,Sticker | ZywOo (Gold) | Berlin 2019,34.82
4370,Sticker | FL1T (Foil) | Berlin 2019,0.56
4430,Sticker | nexa (Foil) | Berlin 2019,0.46
4471,Sticker | v4lde | Berlin 2019,0.09
4476,Sticker | svyat (Gold) | Berlin 2019,11.09
4489,Sticker | kNgV- | Berlin 2019,4.31
4517,Sticker | Too Late,0.04
4526,Sticker | Nuke Beast,0.11
4627,Sticker | Tyranids Hive Tyrant (Holo),1.1
4647,Sticker | From The Deep,0.24
4654,Sticker | Hello AWP (Gold),5.0
4671,Sticker | Hello MP9,0.68
4733,Sticker | GODSENT | 2020 RMR,0.01
4759,Sticker | Virtus.pro (Foil) | 2020 RMR,0.54
4880,Sticker | Dark Water Surf Ava (Foil),12.26
4887,Sticker | Kitted Out,0.05
4892,Sticker | This Is Fine (CT),0.11
4907,Sticker | Knives Out,0.14
4911,Sticker | PTFO,0.11
4916,Sticker | Wingsuit (Holo),0.4
5001,Sticker | ENCE (Gold) | Stockholm 2021,3.9
5135,Sticker | Boombl4 | Stockholm 2021,0.01
5184,Sticker | sh1ro (Holo) | Stockholm 2021,1.03
5215,Sticker | Jame (Gold) | Stockholm 2021,16.58
5231,Sticker | device | Stockholm 2021,0.09
5260,Sticker | Wallbang,0.24
5320,Sticker | Vitality (Glitter) | Antwerp 2022,0.11
5401,Sticker | cadiaN (Glitter) | Antwerp 2022,0.08
5402,Sticker | cadiaN (Holo) | Antwerp 2022,1.95
5426,Sticker | HooXi (Holo) | Antwerp 2022,2.18
5435,Sticker | nicoodoz (Gold) | Antwerp 2022,1.82
5501,Sticker | karrigan (Glitter) | Antwerp 2022,0.15
5542,Sticker | Boombl4 (Holo) | Antwerp 2022,1.2
5549,Sticker | electronic (Glitter) | Antwerp 2022,0.02
5553,Sticker | b1t (Glitter) | Antwerp 2022,0.03
5584,Sticker | JaCkz | Antwerp 2022,0.01
5586,Sticker | JaCkz (Holo) | Antwerp 2022,0.6
5622,Sticker | blameF (Holo) | Antwerp 2022,0.67
5638,Sticker | apEX (Holo) | Antwerp 2022,1.25
5655,Sticker | ZywOo (Gold) | Antwerp 2022,23.55
5660,Sticker | chelo | Antwerp 2022,0.01
5696,Sticker | rigoN | Antwerp 2022,0.01
5700,Sticker | juanflatroo | Antwerp 2022,0.01
5704,Sticker | SENER1 | Antwerp 2022,0.01
5708,Sticker | sinnopsyy | Antwerp 2022,0.01
5718,Sticker | XANTARES (Holo) | Antwerp 2022,4.79
5720,Sticker | woxic | Antwerp 2022,0.03
5735,Sticker | xfl0ud (Gold) | Antwerp 2022,4.87
5778,Sticker | FaNg (Holo) | Antwerp 2022,1.06
5794,Sticker | junior (Holo) | Antwerp 2022,1.29
5805,Sticker | nin9 (Glitter) | Antwerp 2022,0.02
5899,Sticker | Baby Fire Serpent,0.05
5903,Sticker | Beaky Decade,0.08
5911,Sticker | Dragon Tale,0.07
5916,Sticker | Free Range,0.01
5948,Sticker | In The Fire (Foil),0.66
5955,Sticker | Freeze (Lenticular),2.01
5968,Sticker | FaZe Clan (Gold) | Rio 2022,4.04
5990,Sticker | Team Spirit (Glitter) | Rio 2022,0.24
6000,Sticker | Bad News Eagles (Gold) | Rio 2022,1.95
6008,Sticker | Cloud9 (Gold) | Rio 2022,3.66
6011,Sticker | Evil Geniuses (Holo) | Rio 2022,1.72
6028,Sticker | 00 Nation (Gold) | Rio 2022,6.58
6031,Sticker | Fnatic (Holo) | Rio 2022,1.24
6047,Sticker | IHC Esports (Holo) | Rio 2022,1.1
6049,Sticker | Imperial Esports | Rio 2022,0.01
6090,Sticker | Dycha | Rio 2022,0.01
6114,Sticker | Twistzz | Rio 2022,0.05
6126,Sticker | cadiaN | Rio 2022,0.07
6134,Sticker | sjuush | Rio 2022,0.02
6138,Sticker | jabbi | Rio 2022,0.01
6140,Sticker | jabbi (Holo) | Rio 2022,0.96
6146,Sticker | b1t | Rio 2022,0.02
6158,Sticker | Perfecto | Rio 2022,0.02
6166,Sticker | es3tag | Rio 2022,0.02
6170,Sticker | Aleksib | Rio 2022,0.05
6174,Sticker | REZ | Rio 2022,0.06
6176,Sticker | REZ (Holo) | Rio 2022,0.69
6178,Sticker | hampus | Rio 2022,0.02
6186,Sticker | slaxz- | Rio 2022,0.1
6193,Sticker | lauNX (Gold) | Rio 2022,3.83
6197,Sticker | refrezh (Gold) | Rio 2022,5.17
6198,Sticker | Staehr | Rio 2022,0.07
6202,Sticker | Zyphon | Rio 2022,0.07
6204,Sticker | Zyphon (Holo) | Rio 2022,1.34
6228,Sticker | chopper (Holo) | Rio 2022,0.76
6245,Sticker | w0nderful (Gold) | Rio 2022,7.25
6254,Sticker | max | Rio 2022,0.14
6301,Sticker | tabseN (Gold) | Rio 2022,11.09
6306,Sticker | sh1ro | Rio 2022,0.12
6316,Sticker | Ax1Le (Holo) | Rio 2022,2.22
6318,Sticker | interz | Rio 2022,0.13
6322,Sticker | Hobbit | Rio 2022,0.16
6326,Sticker | autimatic | Rio 2022,0.03
6342,Sticker | CeRq | Rio 2022,0.06
6386,Sticker | dupreeh | Rio 2022,0.02
6390,Sticker | Magisk | Rio 2022,0.05
6410,Sticker | coldzera | Rio 2022,0.32
6430,Sticker | mezii | Rio 2022,0.08
6438,Sticker | roeJ | Rio 2022,0.03
6530,Sticker | fer | Rio 2022,0.1
6538,Sticker | VINI | Rio 2022,0.22
6540,Sticker | VINI (Holo) | Rio 2022,2.45
6554,Sticker | Jame | Rio 2022,0.07
6566,Sticker | FL1T (Champion) | Rio 2022,0.01
6570,Sticker | n0rb3r7 (Champion) | Rio 2022,0.01
6574,Sticker | Jame (Champion) | Rio 2022,0.02
6577,"Sticker | Jame (Gold, Champion) | Rio 2022",8.12
6581,"Sticker | qikert (Gold, Champion) | Rio 2022",2.1
6593,Sticker | Knife's Edge,0.02
6596,Sticker | Zap Cat,0.05
6653,Sticker | OG (Glitter) | Paris 2023,0.02
6772,Sticker | s1mple (Gold) | Paris 2023,33.12
6781,Sticker | KSCERATO | Paris 2023,0.01
6867,Sticker | Thomas (Holo) | Paris 2023,0.46
6874,Sticker | Goofy (Glitter) | Paris 2023,0.02
6879,Sticker | hades (Holo) | Paris 2023,0.63
6889,Sticker | mynio | Paris 2023,0.01
6895,Sticker | Aleksib (Holo) | Paris 2023,0.27
6904,Sticker | headtr1ck (Gold) | Paris 2023,1.07
6913,Sticker | HooXi | Paris 2023,0.01
6917,Sticker | huNter- | Paris 2023,0.01
6925,Sticker | m0NESY | Paris 2023,0.03
6937,Sticker | Krad | Paris 2023,0.01
6956,Sticker | degster (Gold) | Paris 2023,0.86
6996,Sticker | acoR (Gold) | Paris 2023,0.9
7008,Sticker | Keoz (Gold) | Paris 2023,1.26
7018,Sticker | jL (Glitter) | Paris 2023,0.01
7033,Sticker | BOROS | Paris 2023,0.01
7038,Sticker | DemQQ (Glitter) | Paris 2023,0.02
7041,Sticker | kRaSnaL | Paris 2023,0.01
7046,Sticker | sdy (Glitter) | Paris 2023,0.01
7051,Sticker | Woro2k (Holo) | Paris 2023,0.47
7053,Sticker | EliGE | Paris 2023,0.01
7064,Sticker | nitr0 (Gold) | Paris 2023,0.97
7068,Sticker | oSee (Gold) | Paris 2023,0.95
7086,Sticker | ropz (Glitter) | Paris 2023,0.08
7094,Sticker | Dycha (Glitter) | Paris 2023,0.01
7097,Sticker | maden | Paris 2023,0.01
7113,Sticker | aliStair | Paris 2023,0.01
7123,Sticker | Liazz (Holo) | Paris 2023,0.36
7126,Sticker | Sico (Glitter) | Paris 2023,0.01
7139,Sticker | frozen (Holo) | Paris 2023,0.7
7148,Sticker | torzsi (Gold) | Paris 2023,3.19
7151,Sticker | xertioN (Holo) | Paris 2023,0.52
7163,Sticker | Grim (Holo) | Paris 2023,0.4
7172,Sticker | JT (Gold) | Paris 2023,1.52
7174,Sticker | felps (Glitter) | Paris 2023,0.01
7177,Sticker | History | Paris 2023,0.01
7181,Sticker | Lucaozy | Paris 2023,0.01
7196,Sticker | ANNIHILATION (Gold) | Paris 2023,0.98
7211,Sticker | Techno4K (Holo) | Paris 2023,1.01
7217,Sticker | dupreeh (Champion) | Paris 2023,0.01
7218,"Sticker | dupreeh (Glitter, Champion) | Paris 2023",0.01
7229,Sticker | ZywOo (Champion) | Paris 2023,0.01
7275,Sticker | Vitality (Glitter) | Copenhagen 2024,0.14
7331,Sticker | AMKAL ESPORTS (Glitter) | Copenhagen 2024,0.24
7342,Sticker | Legacy | Copenhagen 2024,0.01
7379,Sticker | jL | Copenhagen 2024,0.01
7380,Sticker | jL (Glitter) | Copenhagen 2024,0.02
7381,Sticker | jL (Holo) | Copenhagen 2024,1.04
7383,Sticker | Aleksib | Copenhagen 2024,0.01
7386,Sticker | Aleksib (Gold) | Copenhagen 2024,3.93
7388,Sticker | b1t (Glitter) | Copenhagen 2024,0.05
7389,Sticker | b1t (Holo) | Copenhagen 2024,0.87
7392,Sticker | iM (Glitter) | Copenhagen 2024,0.06
7397,Sticker | w0nderful (Holo) | Copenhagen 2024,0.78
7401,Sticker | fame (Holo) | Copenhagen 2024,0.59
7408,Sticker | Jame (Glitter) | Copenhagen 2024,0.08
7409,Sticker | Jame (Holo) | Copenhagen 2024,1.39
7421,Sticker | HooXi (Holo) | Copenhagen 2024,0.84
7422,Sticker | HooXi (Gold) | Copenhagen 2024,3.13
7423,Sticker | huNter- | Copenhagen 2024,0.01
7432,Sticker | nexa (Glitter) | Copenhagen 2024,0.02
7462,Sticker | chopper (Gold) | Copenhagen 2024,2.45
7471,Sticker | sh1ro | Copenhagen 2024,0.01
7481,Sticker | apEX (Holo) | Copenhagen 2024,0.68
7489,Sticker | mezii (Holo) | Copenhagen 2024,0.54
7497,Sticker | ZywOo (Holo) | Copenhagen 2024,3.02
7498,Sticker | ZywOo (Gold) | Copenhagen 2024,19.83
7501,Sticker | Brollan (Holo) | Copenhagen 2024,0.6
7503,Sticker | Jimpphat | Copenhagen 2024,0.01
7507,Sticker | siuhy | Copenhagen 2024,0.01
7511,Sticker | torzsi | Copenhagen 2024,0.01
7512,Sticker | torzsi (Glitter) | Copenhagen 2024,0.05
7515,Sticker | xertioN | Copenhagen 2024,0.01
7517,Sticker | xertioN (Holo) | Copenhagen 2024,0.87
7528,Sticker | floppy (Glitter) | Copenhagen 2024,0.04
7531,Sticker | Grim | Copenhagen 2024,0.01
7535,Sticker | JT | Copenhagen 2024,0.01
7536,Sticker | JT (Glitter) | Copenhagen 2024,0.06
7551,Sticker | Hobbit | Copenhagen 2024,0.04
7552,Sticker | Hobbit (Glitter) | Copenhagen 2024,0.67
7589,Sticker | FalleN (Holo) | Copenhagen 2024,14.17
7624,Sticker | MAJ3R (Glitter) | Copenhagen 2024,0.1
7633,Sticker | woxic (Holo) | Copenhagen 2024,1.19
7634,Sticker | woxic (Gold) | Copenhagen 2024,3.68
7637,Sticker | XANTARES (Holo) | Copenhagen 2024,4.56
7664,Sticker | isak (Glitter) | Copenhagen 2024,0.12
7698,Sticker | story (Gold) | Copenhagen 2024,7.22
