weapon_name,skin_name,pattern,backside_blue,backside_purple,backside_gold,playside_blue,playside_purple,playside_gold
Karambit,Case Hardened,999,13.04,5.23,81.73,2.24,2.64,95.12
Karambit,Case Hardened,711,24.76,13.33,61.91,69.7,8.16,22.14
Karambit,Case Hardened,803,50.91,21.68,27.41,63.46,4.81,31.73
Karambit,Case Hardened,655,0.1,4.15,95.75,64.22,9.32,26.46
Karambit,Case Hardened,671,60.27,11.55,28.18,2.78,6.03,91.18
Karambit,Case Hardened,226,11.75,12.59,75.66,38.05,5.9,56.04
Karambit,Case Hardened,559,19.32,4.75,75.93,0.02,0.95,99.03
Karambit,Case Hardened,488,27.1,21.61,51.28,59.71,9.25,31.04
Karambit,Case Hardened,676,2.47,6.65,90.88,52.23,18.39,29.38
Karambit,Case Hardened,875,39.86,19.82,40.32,51.58,13.08,35.34
Karambit,Case Hardened,939,2.88,9.55,87.57,0.04,0.02,99.94
Karambit,Case Hardened,106,34.7,14.46,50.85,67.49,8.75,23.76
Karambit,Case Hardened,877,18.3,5.43,76.27,37.53,8.9,53.56
Karambit,Case Hardened,57,0.1,2.16,97.74,71.28,9.44,19.29
Karambit,Case Hardened,905,25.85,13.77,60.37,85.81,1.72,12.47
Karambit,Case Hardened,800,0.04,1.43,98.53,55.66,6.93,37.41
Karambit,Case Hardened,109,16.76,6.0,77.24,56.85,9.59,33.56
Karambit,Case Hardened,586,27.86,13.94,58.2,19.26,9.6,71.14
Karambit,Case Hardened,989,26.13,15.92,57.95,68.99,1.65,29.36
Karambit,Case Hardened,844,23.68,10.14,66.18,64.3,7.98,27.72
Karambit,Case Hardened,868,6.56,11.19,82.25,78.32,6.23,15.46
Karambit,Case Hardened,828,9.14,2.8,88.07,67.61,1.95,30.44
Karambit,Case Hardened,497,0.41,3.35,96.24,36.88,4.85,58.26
Karambit,Case Hardened,10,30.49,7.51,61.99,0.01,0.13,99.86
Karambit,Case Hardened,913,28.85,11.0,60.15,48.93,3.02,48.05
Karambit,Case Hardened,159,5.05,3.03,91.92,0.36,1.33,98.3
Karambit,Case Hardened,887,75.73,2.28,21.99,24.14,1.57,74.28
Karambit,Case Hardened,644,31.14,11.49,57.38,43.96,23.52,32.52
Karambit,Case Hardened,922,4.44,18.53,77.03,38.16,12.98,48.86
Karambit,Case Hardened,558,13.49,15.76,70.75,9.27,1.89,88.84
Karambit,Case Hardened,992,8.86,15.74,75.39,10.2,5.11,84.69
Karambit,Case Hardened,126,4.58,10.06,85.37,34.76,11.43,53.81
Karambit,Case Hardened,84,37.41,11.11,51.49,5.92,1.07,93.01
Karambit,Case Hardened,615,9.36,4.51,86.13,60.92,13.61,25.47
Karambit,Case Hardened,534,3.07,4.82,92.11,25.98,14.02,60.0
Karambit,Case Hardened,686,4.27,10.55,85.17,0.95,3.26,95.79
