base_skin,weapon,skin,wear,float,pattern,stattrak,price,phase,stickers_count,stickers_total_value,stickers_avg_value,stickers_max_value,stickers_total_over_price,slot0_name,slot0_price,slot1_name,slot1_price,slot2_name,slot2_price,slot3_name,slot3_price,market_hash_name
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0268956702202558,789,0,7000.0,Sapphire,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0099264262244105,711,0,1700.0,Phase 1,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0317330099642276,979,0,5999.61,Sapphire,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0248239133507013,163,0,1698.89,Phase 4,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0196161419153213,176,0,1788.37,Phase 4,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0492119118571281,601,0,2830.17,Phase 2,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0332632288336753,891,0,1890.75,Phase 4,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0398359633982181,144,0,1538.99,Phase 3,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0346639715135097,488,0,1800.0,Phase 4,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0314824730157852,654,0,1463.61,Phase 1,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0261808671057224,236,0,3120.99,Phase 2,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0270343385636806,664,0,3120.99,Phase 2,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0139008220285177,812,0,1538.99,Phase 3,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0274704601615667,404,0,3099.0,Phase 2,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0381295457482337,750,0,10000.0,Phase 2,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0331951715052127,302,0,13905.3,Ruby,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0101410318166017,778,0,1612.72,Phase 1,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0314923673868179,376,0,7175.11,Sapphire,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0107090659439563,303,0,3148.1,Phase 2,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0245664920657873,201,0,1416.0,Phase 3,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0203082524240016,639,0,1525.0,Phase 3,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0420025512576103,883,0,3300.0,Phase 2,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0147831188514828,943,0,2000.0,Phase 3,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0084336576983332,925,0,2831.42,Phase 4,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0182432513684034,798,0,1787.5,Phase 4,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0078884921967983,236,0,7502.93,Sapphire,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0074658021330833,787,0,2302.7,Phase 1,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0070502194575965,927,0,2490.99,Phase 4,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0105140870437026,700,0,19913.42,Ruby,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0536581613123416,124,0,1593.88,Phase 4,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0253311675041914,911,0,2763.24,Phase 2,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0594705194234848,352,0,1511.22,Phase 3,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.036865197122097,618,0,1675.57,Phase 3,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0136007685214281,509,0,1540.63,Phase 1,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0301922466605901,900,0,1454.64,Phase 3,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0350653678178787,631,0,1424.32,Phase 3,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0104105900973081,945,0,1649.92,Phase 1,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0086979484185576,461,0,1692.87,Phase 3,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0325411669909954,15,0,3395.57,Phase 2,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0002486228768248,478,0,1385.4,Phase 1,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0212924126535654,767,0,1650.21,Phase 4,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0279776044189929,617,0,1650.0,Phase 3,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0171115808188915,835,0,6767.0,Phase 2,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0541384555399417,623,0,3000.0,Phase 2,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0426762290298938,383,0,6500.0,Sapphire,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0321569666266441,964,0,1489.19,Phase 1,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.028212733566761,1,0,1747.28,Phase 4,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0180894341319799,160,0,1899.0,Phase 3,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0231607295572757,800,0,2040.0,Phase 1,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0296629164367914,698,0,1403.67,Phase 3,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0104392236098647,890,0,1772.54,Phase 4,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0259150229394435,23,0,1450.0,Phase 3,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0261580608785152,954,0,1620.0,Phase 4,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0182284750044345,296,0,1700.0,Phase 4,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0109201539307832,692,0,1575.0,Phase 1,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0358471535146236,577,0,2337.98,Phase 4,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0188580825924873,217,0,6115.28,Sapphire,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0078049837611615,986,0,2350.0,Phase 1,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0117918821051716,229,0,1800.0,Phase 1,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.019359715282917,528,0,2900.0,Phase 2,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0092080598697066,330,0,1453.92,Phase 3,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0336285084486007,35,0,3099.0,Phase 2,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0098367389291524,906,0,1439.0,Phase 3,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0032604862935841,319,0,1650.0,Phase 4,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0168255679309368,172,0,1430.0,Phase 3,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0078186001628637,417,0,1710.27,Phase 4,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0146746477112174,773,0,1669.9,Phase 4,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
★ Karambit | Doppler,Karambit,Doppler,Factory New,0.0086262328550219,964,0,2400.0,Phase 1,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,★ Karambit | Doppler (Factory New)
