weapon,skin,wear,float,pattern,stattrak,price,phase,fade_seed,fade_percentage,fade_rank,fade_type,stickers_count,stickers_total_value,stickers_avg_value,stickers_max_value,stickers_total_over_price,slot0_name,slot0_price,slot1_name,slot1_price,slot2_name,slot2_price,slot3_name,slot3_price,market_hash_name
AWP,Fade,Factory New,0.0234663477137865,148,0,1313.75,,148,95.52842,224,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.0053989682346582,720,0,1025.0,,720,92.311775,398,fade,1,0.76,0.76,0.76,0.0007414634146341,Sticker | Get Smoked (Holo),0.76,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.0,720,0,1042.99,,720,92.311775,398,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.010294211352814542,720,0,1072.12,,720,92.311775,398,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.0,720,0,1042.99,,720,92.311775,398,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.0102942113528145,720,0,1072.12,,720,92.311775,398,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.0289005488157272,503,0,1075.99,,503,89.8342,508,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.058027122169733,692,0,1075.99,,692,90.23697,490,fade,2,9.37,4.685,7.44,0.0087082593704402,Sticker | MOUZ (Holo) | Paris 2023,1.93,Sticker | Purrurists (Foil),7.44,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.05454362933249604,692,0,1052.88,,692,90.23697,490,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.057418238395249156,692,0,1033.58,,692,90.23697,490,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.054543629332496,692,0,1052.88,,692,90.23697,490,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.0574182383952491,692,0,1033.58,,692,90.23697,490,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
